engine 0.3.0 protocol 2; features 675 (128 defs x 5 zones + 35 scalars); td-lambda 1.00
league: handcrafted 0.15, frozen 0.25 across 1 snapshot(s) ['penta_net.ckpt-7000.npz']
games    64  eps 0.100  loss 0.5696  samples 12126  replay  12126  len 516.1  caps 35   3.15 games/s
games   128  eps 0.099  loss 0.6090  samples 11952  replay  24078  len 524.4  caps 45   3.13 games/s
games   192  eps 0.099  loss 0.6245  samples 12904  replay  36982  len 520.3  caps 43   3.34 games/s
games   256  eps 0.098  loss 0.6243  samples 12670  replay  49652  len 494.6  caps 33   3.20 games/s
games   320  eps 0.097  loss 0.6195  samples 12296  replay  61948  len 499.0  caps 35   3.17 games/s
games   384  eps 0.097  loss 0.6162  samples 12597  replay  74545  len 501.3  caps 33   3.21 games/s
games   448  eps 0.096  loss 0.6079  samples 10899  replay  85444  len 451.7  caps 27   3.24 games/s
games   512  eps 0.096  loss 0.6064  samples 13019  replay  98463  len 522.1  caps 36   3.35 games/s
games   576  eps 0.095  loss 0.6070  samples 12272  replay 110735  len 531.6  caps 40   3.32 games/s
games   640  eps 0.094  loss 0.6039  samples 11669  replay 122404  len 491.1  caps 29   3.33 games/s
games   704  eps 0.094  loss 0.6042  samples 12640  replay 135044  len 510.7  caps 32   3.38 games/s
games   768  eps 0.093  loss 0.5994  samples 10603  replay 145647  len 477.4  caps 29   3.45 games/s
games   832  eps 0.092  loss 0.5999  samples 12958  replay 150000  len 516.9  caps 31   3.43 games/s
games   896  eps 0.092  loss 0.5990  samples 11707  replay 150000  len 504.0  caps 32   3.32 games/s
games   960  eps 0.091  loss 0.5936  samples 10244  replay 150000  len 454.1  caps 28   3.30 games/s
games  1024  eps 0.090  loss 0.5855  samples 12892  replay 150000  len 495.8  caps 30   3.19 games/s
games  1088  eps 0.090  loss 0.5800  samples 12364  replay 150000  len 496.2  caps 30   3.19 games/s
games  1152  eps 0.089  loss 0.5802  samples 12433  replay 150000  len 489.4  caps 29   3.19 games/s
games  1216  eps 0.088  loss 0.5859  samples 12709  replay 150000  len 515.0  caps 40   3.17 games/s
games  1280  eps 0.088  loss 0.5830  samples 14297  replay 150000  len 501.6  caps 28   3.13 games/s
games  1344  eps 0.087  loss 0.5731  samples 14090  replay 150000  len 475.2  caps 21   3.06 games/s
games  1408  eps 0.087  loss 0.5651  samples 15031  replay 150000  len 505.5  caps 29   3.06 games/s
games  1472  eps 0.086  loss 0.5682  samples 15898  replay 150000  len 504.8  caps 25   3.05 games/s
games  1536  eps 0.085  loss 0.5729  samples 15293  replay 150000  len 502.7  caps 32   3.02 games/s
games  1600  eps 0.085  loss 0.5737  samples 14889  replay 150000  len 499.8  caps 30   2.99 games/s
games  1664  eps 0.084  loss 0.5706  samples 15274  replay 150000  len 525.1  caps 36   2.99 games/s
games  1728  eps 0.083  loss 0.5819  samples 13738  replay 150000  len 511.9  caps 36   3.00 games/s
games  1792  eps 0.083  loss 0.5922  samples 13129  replay 150000  len 464.4  caps 34   2.97 games/s
games  1856  eps 0.082  loss 0.5890  samples 13759  replay 150000  len 497.4  caps 36   2.92 games/s
games  1920  eps 0.081  loss 0.5952  samples 14387  replay 150000  len 544.0  caps 50   2.89 games/s
games  1984  eps 0.081  loss 0.6089  samples 14435  replay 150000  len 535.7  caps 41   2.87 games/s
games  2000  eps 0.080  loss 0.6121  samples  2965  replay 150000  len 518.5  caps 11   2.87 games/s
done: 2000 games -> penta_net_latest.npz
