engine 0.3.0 protocol 2; features 675 (128 defs x 5 zones + 35 scalars); td-lambda 1.00
games    64  eps 0.250  loss 0.6781  samples  8586  replay   8586  len 419.1  caps 10   3.59 games/s
games   128  eps 0.245  loss 0.6563  samples  8745  replay  17331  len 474.1  caps 24   3.03 games/s
games   192  eps 0.241  loss 0.6347  samples  8563  replay  25894  len 463.1  caps 20   2.69 games/s
games   256  eps 0.236  loss 0.6076  samples  9038  replay  34932  len 469.9  caps 20   2.61 games/s
games   320  eps 0.231  loss 0.5963  samples  9176  replay  44108  len 489.1  caps 27   2.59 games/s
games   384  eps 0.227  loss 0.5888  samples  8690  replay  52798  len 479.1  caps 18   2.70 games/s
games   448  eps 0.222  loss 0.5871  samples  8719  replay  61517  len 500.9  caps 26   2.81 games/s
games   512  eps 0.217  loss 0.5854  samples  9244  replay  70761  len 527.1  caps 30   2.89 games/s
games   576  eps 0.212  loss 0.5870  samples  7927  replay  78688  len 473.4  caps 22   3.03 games/s
games   640  eps 0.208  loss 0.5875  samples  8976  replay  87664  len 508.4  caps 29   3.08 games/s
games   704  eps 0.203  loss 0.5836  samples  8423  replay  96087  len 476.0  caps 20   3.12 games/s
games   768  eps 0.198  loss 0.5895  samples  9204  replay 105291  len 467.9  caps 20   3.17 games/s
games   832  eps 0.194  loss 0.5819  samples  8833  replay 114124  len 470.0  caps 17   3.19 games/s
games   896  eps 0.189  loss 0.5742  samples  8882  replay 123006  len 428.6  caps 14   3.27 games/s
games   960  eps 0.184  loss 0.5785  samples  9069  replay 132075  len 449.4  caps 18   3.32 games/s
games  1024  eps 0.180  loss 0.5734  samples  9153  replay 141228  len 460.7  caps 17   3.36 games/s
games  1088  eps 0.175  loss 0.5741  samples  9690  replay 150000  len 494.2  caps 22   3.38 games/s
games  1152  eps 0.170  loss 0.5772  samples 10556  replay 150000  len 525.3  caps 29   3.41 games/s
games  1216  eps 0.166  loss 0.5732  samples  9263  replay 150000  len 464.2  caps 15   3.47 games/s
games  1280  eps 0.161  loss 0.5708  samples 10387  replay 150000  len 501.8  caps 26   3.48 games/s
games  1344  eps 0.156  loss 0.5640  samples  9794  replay 150000  len 482.5  caps 14   3.54 games/s
games  1408  eps 0.151  loss 0.5633  samples 10408  replay 150000  len 503.8  caps 23   3.44 games/s
games  1472  eps 0.147  loss 0.5621  samples 10046  replay 150000  len 459.2  caps 13   3.48 games/s
games  1536  eps 0.142  loss 0.5591  samples  9977  replay 150000  len 480.8  caps 17   3.51 games/s
games  1600  eps 0.137  loss 0.5586  samples  9881  replay 150000  len 497.3  caps 24   3.52 games/s
games  1664  eps 0.133  loss 0.5658  samples 10840  replay 150000  len 532.2  caps 36   3.55 games/s
games  1728  eps 0.128  loss 0.5618  samples 11143  replay 150000  len 509.7  caps 28   3.58 games/s
games  1792  eps 0.123  loss 0.5671  samples 10308  replay 150000  len 521.4  caps 31   3.62 games/s
games  1856  eps 0.119  loss 0.5703  samples 10834  replay 150000  len 528.8  caps 30   3.64 games/s
games  1920  eps 0.114  loss 0.5726  samples  9316  replay 150000  len 509.2  caps 35   3.69 games/s
games  1984  eps 0.109  loss 0.5762  samples  9782  replay 150000  len 531.4  caps 34   3.73 games/s
games  2048  eps 0.105  loss 0.5810  samples 12379  replay 150000  len 530.9  caps 29   3.70 games/s
games  2112  eps 0.100  loss 0.5864  samples 11649  replay 150000  len 530.8  caps 32   3.70 games/s
games  2176  eps 0.095  loss 0.5876  samples 12126  replay 150000  len 518.6  caps 24   3.68 games/s
games  2240  eps 0.090  loss 0.5896  samples 12445  replay 150000  len 515.9  caps 23   3.64 games/s
games  2304  eps 0.086  loss 0.5915  samples 11935  replay 150000  len 527.1  caps 29   3.63 games/s
games  2368  eps 0.081  loss 0.5973  samples 11900  replay 150000  len 520.5  caps 30   3.64 games/s
games  2432  eps 0.076  loss 0.6019  samples 14899  replay 150000  len 576.7  caps 49   3.52 games/s
games  2496  eps 0.072  loss 0.6049  samples 12237  replay 150000  len 507.6  caps 34   3.50 games/s
games  2560  eps 0.067  loss 0.6047  samples 13016  replay 150000  len 536.6  caps 36   3.50 games/s
games  2624  eps 0.062  loss 0.6090  samples 12847  replay 150000  len 522.3  caps 38   3.49 games/s
games  2688  eps 0.058  loss 0.6076  samples 11958  replay 150000  len 517.9  caps 36   3.48 games/s
games  2752  eps 0.053  loss 0.6113  samples 11558  replay 150000  len 534.0  caps 36   3.49 games/s
games  2816  eps 0.048  loss 0.6131  samples 11946  replay 150000  len 533.4  caps 35   3.49 games/s
games  2880  eps 0.043  loss 0.6115  samples 11517  replay 150000  len 512.5  caps 24   3.49 games/s
games  2944  eps 0.039  loss 0.6107  samples 12539  replay 150000  len 509.3  caps 25   3.48 games/s
games  3000  eps 0.034  loss 0.6102  samples 10051  replay 150000  len 478.3  caps 21   3.47 games/s
done: 3000 games -> penta_net_latest.npz
