engine 0.5.0 protocol 2; features 675 (128 defs x 5 zones + 35 scalars); td-lambda 1.00
search: SearchConfig(top_k=4, playouts=1, budget=120, playout_max_eval=8, playout_epsilon=0.1); prior-frac 0.50
games    64  eps 0.250  loss 0.6810  samples  6408  replay   6408  len 439.3  caps 11   0.51 games/s
games   128  eps 0.245  loss 0.6686  samples  6490  replay  12898  len 436.2  caps 12   0.52 games/s
games   192  eps 0.241  loss 0.6414  samples  6723  replay  19621  len 454.2  caps 14   0.52 games/s
games   256  eps 0.236  loss 0.5842  samples  7376  replay  26997  len 465.7  caps 11   0.49 games/s
games   320  eps 0.231  loss 0.4992  samples  7451  replay  34448  len 419.0  caps 7   0.49 games/s
games   384  eps 0.227  loss 0.4311  samples  6634  replay  41082  len 405.5  caps 7   0.49 games/s
games   448  eps 0.222  loss 0.4047  samples  7082  replay  48164  len 442.9  caps 10   0.47 games/s
games   512  eps 0.217  loss 0.3711  samples  6964  replay  55128  len 444.0  caps 11   0.45 games/s
games   576  eps 0.212  loss 0.3548  samples  7624  replay  62752  len 412.9  caps 5   0.44 games/s
games   640  eps 0.208  loss 0.3405  samples  7098  replay  69850  len 459.7  caps 12   0.43 games/s
games   704  eps 0.203  loss 0.3491  samples  7647  replay  77497  len 440.6  caps 6   0.44 games/s
games   768  eps 0.198  loss 0.3400  samples  7226  replay  84723  len 452.3  caps 12   0.45 games/s
games   832  eps 0.194  loss 0.3303  samples  8020  replay  92743  len 460.7  caps 11   0.46 games/s
games   896  eps 0.189  loss 0.3264  samples  7058  replay  99801  len 452.1  caps 13   0.47 games/s
games   960  eps 0.184  loss 0.3242  samples  6991  replay 106792  len 454.0  caps 13   0.47 games/s
games  1024  eps 0.180  loss 0.3196  samples  8380  replay 115172  len 451.0  caps 6   0.48 games/s
games  1088  eps 0.175  loss 0.3115  samples  6193  replay 121365  len 451.5  caps 17   0.48 games/s
games  1152  eps 0.170  loss 0.3125  samples  5415  replay 126780  len 488.2  caps 24   0.48 games/s
games  1216  eps 0.166  loss 0.3150  samples  6256  replay 133036  len 484.9  caps 19   0.50 games/s
games  1280  eps 0.161  loss 0.3182  samples  5796  replay 138832  len 487.9  caps 23   0.51 games/s
games  1344  eps 0.156  loss 0.3121  samples  6691  replay 145523  len 459.5  caps 15   0.52 games/s
games  1408  eps 0.151  loss 0.3104  samples  6068  replay 150000  len 467.9  caps 18   0.54 games/s
games  1472  eps 0.147  loss 0.3075  samples  6679  replay 150000  len 462.7  caps 17   0.55 games/s
games  1536  eps 0.142  loss 0.2925  samples  7782  replay 150000  len 472.9  caps 12   0.57 games/s
games  1600  eps 0.137  loss 0.3019  samples  7175  replay 150000  len 482.1  caps 16   0.58 games/s
games  1664  eps 0.133  loss 0.2944  samples  6520  replay 150000  len 462.6  caps 18   0.59 games/s
games  1728  eps 0.128  loss 0.2892  samples  6584  replay 150000  len 467.2  caps 17   0.60 games/s
games  1792  eps 0.123  loss 0.2972  samples  7387  replay 150000  len 480.4  caps 17   0.61 games/s
games  1856  eps 0.119  loss 0.2914  samples  7477  replay 150000  len 455.0  caps 11   0.62 games/s
games  1920  eps 0.114  loss 0.2943  samples  7042  replay 150000  len 498.3  caps 18   0.63 games/s
games  1984  eps 0.109  loss 0.2935  samples  6131  replay 150000  len 478.7  caps 19   0.64 games/s
games  2048  eps 0.105  loss 0.2993  samples  7449  replay 150000  len 473.6  caps 14   0.65 games/s
games  2112  eps 0.100  loss 0.2943  samples  7873  replay 150000  len 456.8  caps 12   0.66 games/s
games  2176  eps 0.095  loss 0.2973  samples  5843  replay 150000  len 480.3  caps 25   0.67 games/s
games  2240  eps 0.090  loss 0.2946  samples  8288  replay 150000  len 460.4  caps 11   0.68 games/s
games  2304  eps 0.086  loss 0.2926  samples  8801  replay 150000  len 465.2  caps 11   0.68 games/s
games  2368  eps 0.081  loss 0.2803  samples  8026  replay 150000  len 477.8  caps 15   0.69 games/s
games  2432  eps 0.076  loss 0.2829  samples  8534  replay 150000  len 447.7  caps 9   0.69 games/s
games  2496  eps 0.072  loss 0.2755  samples  7993  replay 150000  len 463.0  caps 14   0.69 games/s
games  2560  eps 0.067  loss 0.2818  samples  7153  replay 150000  len 484.1  caps 20   0.69 games/s
games  2624  eps 0.062  loss 0.2742  samples  6684  replay 150000  len 468.8  caps 18   0.69 games/s
games  2688  eps 0.058  loss 0.2863  samples  8604  replay 150000  len 459.7  caps 11   0.69 games/s
games  2752  eps 0.053  loss 0.2781  samples  8647  replay 150000  len 461.4  caps 13   0.69 games/s
games  2816  eps 0.048  loss 0.2840  samples  7880  replay 150000  len 470.8  caps 15   0.69 games/s
games  2880  eps 0.043  loss 0.2688  samples  7028  replay 150000  len 468.2  caps 18   0.69 games/s
games  2944  eps 0.039  loss 0.2778  samples  8500  replay 150000  len 471.9  caps 14   0.69 games/s
games  3000  eps 0.034  loss 0.2909  samples  6437  replay 150000  len 471.7  caps 17   0.69 games/s
ring: saved 150000 samples + momentum -> penta_ring.npz
done: 3000 games -> penta_net_latest.npz
