engine 0.3.0 protocol 2; features 675 (128 defs x 5 zones + 35 scalars); td-lambda 1.00
games    64  eps 0.250  loss 0.6746  samples  6587  replay   6587  len 419.1  caps 10   3.60 games/s
games   128  eps 0.245  loss 0.6459  samples  5588  replay  12175  len 488.1  caps 21   3.31 games/s
games   192  eps 0.241  loss 0.6070  samples  4997  replay  17172  len 465.1  caps 20   2.97 games/s
games   256  eps 0.236  loss 0.5566  samples  5087  replay  22259  len 474.2  caps 22   2.87 games/s
games   320  eps 0.231  loss 0.5143  samples  4644  replay  26903  len 508.2  caps 29   2.77 games/s
games   384  eps 0.227  loss 0.4712  samples  5025  replay  31928  len 507.5  caps 25   2.84 games/s
games   448  eps 0.222  loss 0.4317  samples  3114  replay  35042  len 548.6  caps 40   2.99 games/s
games   512  eps 0.217  loss 0.3974  samples  3911  replay  38953  len 536.9  caps 35   3.09 games/s
games   576  eps 0.212  loss 0.3814  samples  3544  replay  42497  len 537.0  caps 36   3.27 games/s
games   640  eps 0.208  loss 0.3705  samples  2379  replay  44876  len 559.4  caps 45   3.41 games/s
games   704  eps 0.203  loss 0.3637  samples  2735  replay  47611  len 542.5  caps 42   3.59 games/s
games   768  eps 0.198  loss 0.3572  samples  2935  replay  50546  len 529.8  caps 40   3.67 games/s
games   832  eps 0.194  loss 0.3651  samples  3347  replay  53893  len 526.4  caps 36   3.78 games/s
games   896  eps 0.189  loss 0.3441  samples  2748  replay  56641  len 551.0  caps 42   3.92 games/s
games   960  eps 0.184  loss 0.3559  samples  3765  replay  60406  len 537.2  caps 36   4.05 games/s
games  1024  eps 0.180  loss 0.3629  samples  3631  replay  64037  len 554.9  caps 40   4.12 games/s
games  1088  eps 0.175  loss 0.3532  samples  3726  replay  67763  len 554.8  caps 38   4.21 games/s
games  1152  eps 0.170  loss 0.3416  samples  2930  replay  70693  len 537.2  caps 41   4.29 games/s
games  1216  eps 0.166  loss 0.3566  samples  3917  replay  74610  len 523.3  caps 34   4.37 games/s
games  1280  eps 0.161  loss 0.3475  samples  3606  replay  78216  len 522.8  caps 36   4.45 games/s
games  1344  eps 0.156  loss 0.3436  samples  4819  replay  83035  len 516.3  caps 29   4.49 games/s
games  1408  eps 0.151  loss 0.3476  samples  4910  replay  87945  len 508.3  caps 28   4.54 games/s
games  1472  eps 0.147  loss 0.3337  samples  4474  replay  92419  len 514.0  caps 30   4.59 games/s
games  1536  eps 0.142  loss 0.3364  samples  4664  replay  97083  len 531.1  caps 33   4.61 games/s
games  1600  eps 0.137  loss 0.3259  samples  4163  replay 101246  len 515.9  caps 32   4.66 games/s
games  1664  eps 0.133  loss 0.3249  samples  4486  replay 105732  len 515.0  caps 32   4.69 games/s
games  1728  eps 0.128  loss 0.3190  samples  6071  replay 111803  len 498.9  caps 22   4.71 games/s
games  1792  eps 0.123  loss 0.3178  samples  3834  replay 115637  len 549.8  caps 39   4.77 games/s
games  1856  eps 0.119  loss 0.3170  samples  3400  replay 119037  len 567.2  caps 44   4.82 games/s
games  1920  eps 0.114  loss 0.3249  samples  3166  replay 122203  len 544.5  caps 41   4.85 games/s
games  1984  eps 0.109  loss 0.3140  samples  3784  replay 125987  len 547.9  caps 39   4.87 games/s
games  2048  eps 0.105  loss 0.3112  samples  3598  replay 129585  len 532.5  caps 38   4.89 games/s
games  2112  eps 0.100  loss 0.3107  samples  3742  replay 133327  len 540.1  caps 39   4.92 games/s
games  2176  eps 0.095  loss 0.3004  samples  3089  replay 136416  len 557.1  caps 44   4.94 games/s
games  2240  eps 0.090  loss 0.3147  samples  2793  replay 139209  len 552.7  caps 46   4.97 games/s
games  2304  eps 0.086  loss 0.3023  samples  3579  replay 142788  len 546.1  caps 41   4.99 games/s
games  2368  eps 0.081  loss 0.2992  samples  3601  replay 146389  len 551.2  caps 41   4.97 games/s
games  2432  eps 0.076  loss 0.3061  samples  2872  replay 149261  len 569.3  caps 48   4.95 games/s
games  2496  eps 0.072  loss 0.3099  samples  3645  replay 150000  len 554.9  caps 41   4.94 games/s
games  2560  eps 0.067  loss 0.2951  samples  3785  replay 150000  len 548.0  caps 41   4.96 games/s
games  2624  eps 0.062  loss 0.2915  samples  2824  replay 150000  len 566.3  caps 47   4.95 games/s
games  2688  eps 0.058  loss 0.3224  samples  1728  replay 150000  len 585.3  caps 53   4.95 games/s
games  2752  eps 0.053  loss 0.2910  samples  2612  replay 150000  len 564.6  caps 48   4.96 games/s
games  2816  eps 0.048  loss 0.2831  samples  3431  replay 150000  len 574.4  caps 45   4.99 games/s
games  2880  eps 0.043  loss 0.2936  samples  2678  replay 150000  len 569.3  caps 48   4.99 games/s
games  2944  eps 0.039  loss 0.2850  samples  3354  replay 150000  len 558.1  caps 44   4.99 games/s
games  3000  eps 0.034  loss 0.2824  samples  3797  replay 150000  len 518.9  caps 30   4.98 games/s
done: 3000 games -> penta_net_latest.npz
